ds,y
2023-12-10,52
2023-12-17,49
2023-12-24,46
2023-12-31,44
2024-01-07,43
2024-01-14,45
2024-01-21,44
2024-01-28,39
2024-02-04,37
2024-02-11,37
2024-02-18,40
2024-02-25,44
2024-03-03,44
2024-03-10,44
2024-03-17,48
2024-03-24,47
2024-03-31,44
2024-04-07,38
2024-04-14,42
2024-04-21,49
2024-04-28,50
2024-05-05,52
2024-05-12,53
2024-05-19,57
2024-05-26,56
2024-06-02,61
2024-06-09,61
2024-06-16,53
2024-06-23,55
2024-06-30,57
2024-07-07,62
2024-07-14,53
2024-07-21,50
2024-07-28,51
2024-08-04,55
2024-08-11,54
2024-08-18,66
2024-08-25,80
2024-09-01,67
2024-09-08,68
2024-09-15,70
2024-09-22,78
2024-09-29,75
2024-10-06,76
2024-10-13,80
2024-10-20,87
2024-10-27,83
2024-11-03,80
2024-11-10,84
2024-11-17,88
2024-11-24,77
2024-12-01,94
2024-12-08,100
