Category: All categories

Month,jokowi: (Indonesia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,<1
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,<1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,<1
2011-03,0
2011-04,0
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,1
2012-02,<1
2012-03,2
2012-04,3
2012-05,2
2012-06,3
2012-07,13
2012-08,14
2012-09,29
2012-10,23
2012-11,20
2012-12,14
2013-01,16
2013-02,12
2013-03,9
2013-04,7
2013-05,9
2013-06,11
2013-07,11
2013-08,14
2013-09,13
2013-10,12
2013-11,11
2013-12,11
2014-01,13
2014-02,11
2014-03,23
2014-04,29
2014-05,52
2014-06,95
2014-07,100
2014-08,34
2014-09,25
2014-10,85
2014-11,54
2014-12,23
2015-01,23
2015-02,20
2015-03,15
2015-04,22
2015-05,14
2015-06,19
2015-07,11
2015-08,15
2015-09,14
2015-10,15
2015-11,14
2015-12,14
2016-01,13
2016-02,11
2016-03,14
2016-04,10
2016-05,10
2016-06,11
2016-07,13
2016-08,12
2016-09,9
2016-10,11
2016-11,20
2016-12,15
2017-01,17
2017-02,13
2017-03,11
2017-04,8
2017-05,11
2017-06,10
2017-07,10
2017-08,11
2017-09,10
2017-10,11
2017-11,17
2017-12,8
2018-01,9
2018-02,11
2018-03,9
2018-04,14
2018-05,11
2018-06,10
2018-07,13
2018-08,32
2018-09,20
2018-10,17
2018-11,14
2018-12,16
2019-01,21
2019-02,26
2019-03,26
2019-04,62
2019-05,24
2019-06,14
2019-07,12
2019-08,11
2019-09,15
2019-10,41
2019-11,9
2019-12,6
2020-01,6
2020-02,6
2020-03,17
2020-04,10
2020-05,9
2020-06,8
2020-07,7
2020-08,6
2020-09,5
2020-10,8
2020-11,5
2020-12,7
2021-01,7
2021-02,7
2021-03,6
2021-04,4
2021-05,5
2021-06,6
2021-07,8
2021-08,7
2021-09,5
2021-10,5
2021-11,5
2021-12,5
2022-01,6
2022-02,6
2022-03,7
2022-04,8
2022-05,7
2022-06,9
2022-07,6
2022-08,6
2022-09,6
2022-10,8
2022-11,6
2022-12,8
2023-01,5
2023-02,4
2023-03,5
2023-04,4
2023-05,6
2023-06,6
2023-07,5
2023-08,7
2023-09,5
2023-10,9
2023-11,6
2023-12,6
2024-01,9
2024-02,17
2024-03,5
2024-04,4
2024-05,4
2024-06,4
2024-07,3
2024-08,8
2024-09,5
2024-10,9
